"STATION","NAME","DATE","ACMH","ACSH","AWND","DAPR","FMTM","FRGT","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT16","WT18"
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-01",,,,,,,,,"0.8","0.0","0.0",,"13.3","6.7",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-02",,,,,,,,,"5.8","0.0","0.0",,"13.3","10.6",,,,,,,,,,"    1",,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-03",,,,,,,,,"0.0","0.0","0.0",,"13.9","9.4",,,,,,,,,,"    1",,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-04",,,,,,,,,"1.0","0.0","0.0",,"16.7","11.7",,,,,,,,,,"    1",,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-05",,,,,,,,,"0.0","0.0","0.0",,"17.8","10.0",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-06",,,,,,,,,"0.8","0.0","0.0",,"18.3","10.0",,,,,,,,,,"    1",,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-07",,,,,,,,,"10.9","0.0","0.0",,"15.6","11.1",,,,,,,,,,"    1",,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-08",,,,,,,,,"0.0","0.0","0.0",,"12.2","5.6",,,,,,,,,,"    1",,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-09",,,,,,,,,"0.0","0.0","0.0",,"12.2","3.9",,,,,,,,,,"    1",,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-10",,,,,,,,,"0.0","0.0","0.0",,"15.0","4.4",,,,,,,,,,"    1",,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-11",,,,,,,,,"0.0","0.0","0.0",,"16.1","2.2",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-12",,,,,,,,,"0.0","0.0","0.0",,"20.0","5.6",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-13",,,,,,,,,"0.0","0.0","0.0",,"18.3","8.9",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-14",,,,,,,,,"0.0","0.0","0.0",,"17.8","3.9",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-15",,,,,,,,,"0.0","0.0","0.0",,"18.3","1.7",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-16",,,,,,,,,"0.0","0.0","0.0",,"17.2","3.3",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-17",,,,,,,,,"0.0","0.0","0.0",,"17.2","1.7",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-18",,,,,,,,,"0.0","0.0","0.0",,"16.7","2.2",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-19",,,,,,,,,"0.0","0.0","0.0",,"18.9","3.9",,,,,,,,,,,,,,,,,"    1",,,
